Segment,label_literacy,nutrition_knowledge,planning_ability,cooking_skill,health_priority,purity_priority,sustainability_priority,authority_trust,greenwashing_skepticism,brand_loyalty,novelty_seeking,satisficing,risk_aversion,price_pain,premium_wtp,purity_avoidance,outcome_optimization,identity_signaling,convenience_rationalization,price_sensitivity,Segment_Name,Size,Percentage
0,0.8333333333333334,0.7547619047619047,0.7785714285714287,0.6309523809523809,0.8690476190476191,0.8523809523809524,0.4095238095238095,0.5047619047619047,0.6214285714285714,0.41904761904761906,0.6738095238095239,0.3619047619047619,0.43809523809523815,0.6571428571428571,0.6785714285714286,0.7976190476190477,0.7880952380952382,0.6619047619047619,0.3595238095238095,0.6857142857142857,Price-Conscious Pragmatists,21,21.6
1,0.8416666666666667,0.7458333333333333,0.7666666666666667,0.7166666666666667,0.8819444444444444,0.8652777777777777,0.5319444444444444,0.6152777777777777,0.5361111111111111,0.4305555555555556,0.6402777777777778,0.2986111111111111,0.4652777777777778,0.25277777777777777,0.8361111111111111,0.8041666666666667,0.7819444444444444,0.7152777777777778,0.2777777777777778,0.28194444444444444,Premium Purity Seekers,36,37.1
2,0.3875,0.575,0.6375,0.6625,0.625,0.375,0.3,0.4625,0.3875,0.6125,0.5125,0.6749999999999999,0.4875,0.45,0.5875,0.4125,0.5,0.3625,0.6125,0.5625,Low-Engagement Shoppers,8,8.2
3,0.8133333333333332,0.7266666666666667,0.7133333333333333,0.6633333333333333,0.86,0.7433333333333334,0.35666666666666663,0.5733333333333334,0.5333333333333333,0.7233333333333333,0.33666666666666667,0.5566666666666666,0.6533333333333334,0.5933333333333334,0.5733333333333334,0.7,0.7766666666666667,0.45,0.48000000000000004,0.6266666666666667,Brand Loyalists,15,15.5
4,0.8029411764705883,0.6823529411764706,0.6029411764705882,0.6264705882352941,0.788235294117647,0.7999999999999999,0.5058823529411764,0.37941176470588234,0.5676470588235294,0.39705882352941174,0.65,0.5764705882352941,0.48235294117647054,0.47941176470588237,0.7382352941176471,0.7676470588235295,0.6470588235294118,0.6588235294117647,0.5647058823529412,0.4970588235294117,Values-Driven Advocates,17,17.5
